symbol,Unnamed: 0,name,has_intraday,has_eod,acronym
MSFT,0,Microsoft Corporation,False,True,NASDAQ
AAPL,1,Apple Inc,False,True,NASDAQ
AMZN,2,Amazon.com Inc,False,True,NASDAQ
GOOG,3,Alphabet Inc - Class C,False,True,NASDAQ
GOOGL,4,Alphabet Inc - Class A,False,True,NASDAQ
BABA,5,Alibaba Group Holding Ltd,False,True,NYSE
FB,6,Meta Platforms Inc - Class A,False,True,NASDAQ
VOD,9,Vodafone Group plc,False,True,NASDAQ
V,10,Visa Inc - Class A,False,True,NYSE
JPM,11,JPMorgan Chase & Company,False,True,NYSE
JNJ,12,Johnson & Johnson,False,True,NYSE
WMT,13,Walmart Inc,False,True,NYSE
MA,14,Mastercard Incorporated - Class A,False,True,NYSE
PG,15,Procter & Gamble Company,False,True,NYSE
TSM,16,Taiwan Semiconductor Manufacturing,False,True,NYSE
CHT,17,Chunghwa Telecom,False,True,NYSE
RHHBF,18,Roche Holding AG,False,True,OTC
RHHVF,19,Roche Holding AG,False,True,OTC
T,20,AT&T Inc,False,True,NYSE
UNH,21,Unitedhealth Group Inc,False,True,NYSE
BAC,22,Bank Of America Corp,False,True,NYSE
HD,23,Home Depot Inc,False,True,NYSE
INTC,24,Intel Corp,False,True,NASDAQ
KO,25,Coca-Cola Company,False,True,NYSE
VZ,26,Verizon Communications Inc,False,True,NYSE
RHHBY,27,Roche Holding AG,False,True,OTC
XOM,28,Exxon Mobil Corp,False,True,NYSE
DIS,29,Walt Disney Co (The),False,True,NYSE
MRK,30,Merck & Co Inc,False,True,NYSE
NVS,31,Novartis AG,False,True,NYSE
CMCSA,32,Comcast Corp - Class A,False,True,NASDAQ
PFE,33,Pfizer Inc,False,True,NYSE
PEP,34,PepsiCo Inc,False,True,NASDAQ
TM,35,Toyota Motor Corporation,False,True,NYSE
CVX,36,Chevron Corp,False,True,NYSE
ADBE,37,Adobe Inc,False,True,NASDAQ
CSCO,38,Cisco Systems Inc,False,True,NASDAQ
WFC,39,Wells Fargo & Company,False,True,NYSE
NVDA,40,NVIDIA Corp,False,True,NASDAQ
NFLX,41,Netflix Inc,False,True,NASDAQ
ORCL,42,Oracle Corp,False,True,NYSE
BA,43,Boeing Company,False,True,NYSE
CHL,44,China Mobile Ltd ADR,False,True,NYSE
CRM,45,Salesforce Inc,False,True,NYSE
SAP,46,Sap SE,False,True,NYSE
MCD,47,McDonald`s Corp,False,True,NYSE
NKE,48,Nike Inc - Class B,False,True,NYSE
ABT,49,Abbott Laboratories,False,True,NYSE
C,50,Citigroup Inc,False,True,NYSE
MDT,51,Medtronic Plc,False,True,NYSE
HSBC,52,HSBC Holdings plc,False,True,NYSE
TSLA,53,Tesla Inc,False,True,NASDAQ
COST,54,Costco Wholesale Corp,False,True,NASDAQ
BMY,55,Bristol-Myers Squibb Company,False,True,NYSE
HSBC/PA,56,HSBC HOLDINGS PLC ADR EACH REPR 1/40 PREF SERIES ',False,True,NYSE
PYPL,57,PayPal Holdings Inc,False,True,NASDAQ
PM,58,Philip Morris International Inc,False,True,NYSE
NEE,59,NextEra Energy Inc,False,True,NYSE
ABBV,60,Abbvie Inc,False,True,NYSE
LLY,61,Lilly(Eli) & Company,False,True,NYSE
AMGN,62,AMGEN Inc,False,True,NASDAQ
SNY,63,Sanofi,False,True,NASDAQ
TMO,64,Thermo Fisher Scientific Inc,False,True,NYSE
ASML,65,ASML Holding NV,False,True,NASDAQ
AZN,66,Astrazeneca plc,False,True,NYSE
ACN,67,Accenture plc - Class A,False,True,NYSE
IBM,68,International Business Machines Corp,False,True,NYSE
HON,69,Honeywell International Inc,False,True,NYSE
UTX,70,UNITED TECHNOLOGIES CORP,False,True,NYSE
TOT,71,TotalEnergies SE,False,True,NYSE
AVGO,72,Broadcom Inc,False,True,NASDAQ
TXN,73,Texas Instruments Inc,False,True,NASDAQ
NVO,74,Novo Nordisk,False,True,NYSE
UNP,75,Union Pacific Corp,False,True,NYSE
RY,76,Royal Bank Of Canada,False,True,NYSE
BP,77,BP plc,False,True,NYSE
LMT,78,Lockheed Martin Corp,False,True,NYSE
AMT,79,American Tower Corp,False,True,NYSE
LIN,80,Linde Plc.,False,True,NYSE
GSK,81,GSK Plc,False,True,NYSE
DHR,82,Danaher Corp,False,True,NYSE
CHTR,83,Charter Communications Inc - Class A,False,True,NASDAQ
HDB,84,HDFC Bank Ltd,False,True,NYSE
GE,85,General Electric Company,False,True,NYSE
SBUX,86,Starbucks Corp,False,True,NASDAQ
BUD,87,Anheuser-Busch In Bev SA/NV,False,True,NYSE
GILD,88,Gilead Sciences Inc,False,True,NASDAQ
TD,89,Toronto Dominion Bank,False,True,NYSE
SHI,90,Sinopec Shanghai Petrochemical Co. Ltd,False,True,NYSE
QCOM,91,Qualcomm Inc,False,True,NASDAQ
AXP,92,American Express Company,False,True,NYSE
FIS,94,Fidelity National Information Services Inc,False,True,NYSE
BTI,95,British American Tobacco Plc,False,True,NYSE
MMM,96,3M Company,False,True,NYSE
