Time,AA,BATS.XLON,BP.XLON,CAT,DGE.XLON,FDX,HSBA.XLON,ULVR.XLON,WMT,NYSE,LSE,NYSEQ1,LSEQ1,NYSEQ3,LSEQ3
2022-03-21,90.69,3164.0,375.0,223.71,3712.5,222.16,500.8,3405.5,144.23,170.1975,2231.56,130.845,500.8,222.5475,3405.5
2022-03-22,89.88,3201.0,371.3,222.71,3742.5,226.57,516.6,3439.5,143.8,170.74,2254.1800000000003,130.32,516.6,223.675,3439.5
2022-03-23,94.22,3191.0,387.9,222.17,3746.0,221.47,509.7,3385.0,141.95,169.9525,2243.9199999999996,130.01749999999998,509.7,221.64499999999998,3385.0
2022-03-24,95.06,3262.0,389.2,222.21,3747.5,225.12,517.6,3370.0,142.83,171.305,2257.2599999999998,130.88750000000002,517.6,222.9375,3370.0
2022-03-25,91.96,3300.0,391.7,223.36,3817.0,226.56,516.8,3386.5,143.45,171.33249999999998,2282.4,130.5775,516.8,224.16000000000003,3386.5
2022-03-26,92.12666666666667,3299.6666666666665,388.09999999999997,222.85666666666668,3818.6666666666665,227.72333333333333,517.4333333333333,3400.1666666666665,144.29999999999998,171.75166666666667,2284.8066666666664,131.25666666666666,517.4333333333333,224.07333333333335,3400.1666666666665
2022-03-27,92.29333333333332,3299.3333333333335,384.5,222.35333333333332,3820.3333333333335,228.88666666666668,518.0666666666667,3413.8333333333335,145.15,172.17083333333332,2287.2133333333336,131.93583333333333,518.0666666666667,223.98666666666668,3413.8333333333335
2022-03-28,92.46,3299.0,380.9,221.85,3822.0,230.05,518.7,3427.5,146.0,172.59,2289.62,132.615,518.7,223.9,3427.5
2022-03-29,90.07,3219.0,371.35,221.04,3883.0,238.57,527.0,3530.0,147.23,174.22750000000002,2306.07,132.94,527.0,225.42249999999999,3530.0
2022-03-30,92.19,3242.0,382.75,223.08,3900.0,235.25,526.6,3548.0,149.87,175.0975,2319.87,135.45,526.6,226.1225,3548.0
2022-03-31,90.03,3194.5,375.35,222.82,3863.5,231.39,525.4,3455.0,148.92,173.29,2282.75,134.1975,525.4,224.96249999999998,3455.0
2022-04-01,90.62,3226.0,378.95,219.77,3870.0,221.25,528.9,3508.0,151.01,170.6625,2302.37,135.9125,528.9,220.14000000000001,3508.0
2022-04-02,90.71333333333334,3230.3333333333335,378.5,220.11666666666667,3881.8333333333335,220.16333333333333,527.6333333333333,3512.0,151.01999999999998,170.50333333333333,2306.06,135.94333333333333,527.6333333333333,220.12833333333333,3512.0
2022-04-03,90.80666666666667,3234.6666666666665,378.05,220.46333333333334,3893.6666666666665,219.07666666666668,526.3666666666667,3516.0,151.03,170.34416666666667,2309.75,135.97416666666666,526.3666666666667,219.42333333333335,3516.0
2022-04-04,90.9,3239.0,377.6,220.81,3905.5,217.99,525.1,3520.0,151.04,170.185,2313.44,136.005,525.1,218.695,3520.0
2022-04-05,87.71,3228.5,382.9,216.02,3979.5,211.03,527.7,3536.5,151.47,166.5575,2331.0199999999995,135.53,527.7,212.2775,3536.5
2022-04-06,87.73,3305.0,380.85,216.21,4011.0,204.0,524.2,3497.5,154.99,165.73250000000002,2343.71,138.175,524.2,207.0525,3497.5
2022-04-07,86.1,3232.5,377.4,215.9,3994.0,203.77,521.4,3503.0,156.54,165.5775,2325.66,138.93,521.4,206.8025,3503.0
2022-04-08,84.15,3291.0,391.5,217.03,4020.5,201.52,530.0,3537.5,157.41,165.0275,2354.1,139.095,530.0,205.3975,3537.5
2022-04-09,83.61,3288.0,389.8833333333333,216.70333333333335,4014.5,202.38666666666668,531.1,3521.8333333333335,156.37,164.7675,2349.0633333333335,138.18,531.1,205.96583333333336,3521.8333333333335
2022-04-10,83.07000000000001,3285.0,388.26666666666665,216.37666666666667,4008.5,203.25333333333333,532.1999999999999,3506.1666666666665,155.32999999999998,164.5075,2344.0266666666666,137.265,532.1999999999999,206.53416666666666,3506.1666666666665
2022-04-11,82.53,3282.0,386.65,216.05,4002.5,204.12,533.3,3490.5,154.29,164.2475,2338.99,136.35,533.3,207.10250000000002,3490.5
2022-04-12,83.26,3270.0,395.95,216.7,3965.5,204.38,519.3,3432.0,153.23,164.39249999999998,2316.55,135.73749999999998,519.3,207.45999999999998,3432.0
2022-04-13,87.42,3263.5,397.35,218.27,3930.5,206.31,518.2,3436.5,157.22,167.305,2309.21,139.77,518.2,209.3,3436.5
2022-04-14,87.77,3262.0,399.45,227.81,3963.5,205.74,522.4,3429.0,157.08,169.6,2315.2699999999995,139.7525,522.4,211.2575,3429.0
2022-04-15,88.19,3265.0,399.77,228.3375,3944.3,205.12,523.04,3427.5,156.78,169.606875,2311.922,139.6325,523.04,210.924375,3427.5
2022-04-16,88.61,3268.0,400.09,228.865,3925.1,204.5,523.68,3426.0,156.48000000000002,169.61375,2308.574,139.51250000000002,523.68,210.59125,3426.0
2022-04-17,89.03,3271.0,400.41,229.39249999999998,3905.9,203.88,524.32,3424.5,156.18,169.62062500000002,2305.2259999999997,139.3925,524.32,210.258125,3424.5
2022-04-18,89.45,3274.0,400.73,229.92,3886.7,203.26,524.96,3423.0,155.88,169.6275,2301.8779999999997,139.2725,524.96,209.92499999999998,3423.0
2022-04-19,86.58,3277.0,401.05,232.16,3867.5,208.81,525.6,3421.5,157.65,171.29999999999998,2298.53,139.8825,525.6,214.6475,3421.5
2022-04-20,86.93,3314.0,401.15,235.08,3873.5,209.19,538.0,3468.5,159.63,172.7075,2319.0299999999997,141.45499999999998,538.0,215.6625,3468.5
2022-04-21,72.2,3344.5,403.15,232.57,3921.0,206.86,536.9,3515.0,159.87,167.875,2344.1099999999997,137.95250000000001,536.9,213.28750000000002,3515.0
2022-04-22,67.37,3339.5,393.15,216.3,3897.0,205.21,523.3,3541.0,156.86,161.435,2338.79,134.4875,523.3,207.98250000000002,3541.0
2022-04-23,67.37,3318.6666666666665,385.05,216.43333333333334,3911.0,205.27333333333334,516.0666666666666,3562.8333333333335,156.88666666666668,161.49083333333334,2338.7233333333334,134.50750000000002,516.0666666666666,208.06333333333333,3562.8333333333335
2022-04-24,67.37,3297.8333333333335,376.95,216.56666666666666,3925.0,205.33666666666667,508.8333333333333,3584.6666666666665,156.91333333333333,161.54666666666665,2338.6566666666668,134.5275,508.8333333333333,208.14416666666668,3584.6666666666665
2022-04-25,67.37,3277.0,368.85,216.7,3939.0,205.4,501.6,3606.5,156.94,161.60250000000002,2338.59,134.5475,501.6,208.225,3606.5
2022-04-26,66.97,3295.5,379.45,210.3,3972.0,200.0,473.85,3642.0,155.3,158.14249999999998,2352.56,133.2175,473.85,202.575,3642.0
2022-04-27,69.99,3329.0,378.4,213.96,3966.5,199.26,486.3,3577.5,154.24,159.3625,2347.54,133.1775,486.3,202.935,3577.5
2022-04-28,70.52,3330.0,388.05,212.44,3989.5,206.85,494.05,3675.0,156.21,161.505,2375.32,134.7875,494.05,208.2475,3675.0
2022-04-29,67.8,3352.0,391.55,210.54,4018.5,198.74,501.3,3719.0,152.99,157.51749999999998,2396.4700000000003,131.6925,501.3,201.69,3719.0
2022-04-30,67.25333333333333,3350.5,397.225,211.04999999999998,4012.875,198.16333333333333,504.175,3703.875,152.65333333333334,157.27999999999997,2393.73,131.30333333333334,504.175,201.385,3703.875
2022-05-01,66.70666666666666,3349.0,402.9,211.56,4007.25,197.58666666666667,507.04999999999995,3688.75,152.31666666666666,157.04250000000002,2390.99,130.91416666666666,507.04999999999995,201.08,3688.75
2022-05-02,66.16,3347.5,408.575,212.07,4001.625,197.01,509.92499999999995,3673.625,151.98,156.805,2388.25,130.52499999999998,509.92499999999995,200.77499999999998,3673.625
2022-05-03,64.66,3346.0,414.25,213.62,3996.0,199.44,512.8,3658.5,152.51,157.5575,2385.5099999999998,130.54749999999999,512.8,202.985,3658.5
2022-05-04,67.96,3327.5,415.9,222.59,3924.5,209.49,515.4,3622.0,154.62,163.66500000000002,2361.06,132.955,515.4,212.76500000000001,3622.0
2022-05-05,63.46,3347.5,418.9,215.93,3948.0,207.24,508.0,3630.0,152.74,159.8425,2370.48,130.42000000000002,508.0,209.41250000000002,3630.0
2022-05-06,61.04,3300.0,426.65,214.65,3783.5,210.21,502.0,3597.0,149.56,158.865,2321.83,127.43,502.0,211.32,3597.0
2022-05-07,58.763333333333335,3300.6666666666665,419.3666666666667,211.86333333333334,3764.8333333333335,209.56333333333333,498.9,3610.0,150.14333333333335,157.58333333333334,2318.753333333333,127.29833333333335,498.9,210.13833333333332,3610.0
2022-05-08,56.486666666666665,3301.3333333333335,412.0833333333333,209.07666666666665,3746.1666666666665,208.91666666666669,495.8,3623.0,150.72666666666666,156.30166666666668,2315.676666666667,127.16666666666666,495.8,208.95666666666668,3623.0
2022-05-09,54.21,3302.0,404.8,206.29,3727.5,208.27,492.7,3636.0,151.31,155.01999999999998,2312.6,127.035,492.7,206.785,3636.0
2022-05-10,55.84,3306.5,404.95,202.99,3714.0,208.06,495.7,3700.5,149.18,154.0175,2324.33,125.845,495.7,204.2575,3700.5
2022-05-11,56.66,3364.0,419.9,205.21,3759.5,207.2,499.45,3690.5,147.62,154.1725,2346.6699999999996,124.88,499.45,205.7075,3690.5
2022-05-12,54.58,3336.5,400.15,203.03,3710.0,208.2,483.4,3688.5,147.48,153.3225,2323.71,124.255,483.4,204.3225,3688.5
2022-05-13,58.33,3429.0,414.7,204.33,3823.5,211.29,501.4,3747.0,148.05,155.5,2383.12,125.62,501.4,206.07,3747.0
2022-05-14,58.98,3438.6666666666665,415.9166666666667,205.28333333333333,3838.0,210.76666666666665,500.45,3742.1666666666665,148.10333333333335,155.78333333333333,2387.04,125.82250000000002,500.45,206.65416666666667,3742.1666666666665
2022-05-15,59.63,3448.3333333333335,417.1333333333333,206.23666666666668,3852.5,210.24333333333334,499.5,3737.3333333333335,148.15666666666667,156.06666666666666,2390.96,126.025,499.5,207.23833333333334,3737.3333333333335
2022-05-16,60.28,3458.0,418.35,207.19,3867.0,209.72,498.55,3732.5,148.21,156.35000000000002,2394.88,126.2275,498.55,207.8225,3732.5
2022-05-17,63.4,3502.0,421.25,213.09,3836.0,221.5,502.4,3666.0,131.35,157.335,2385.5299999999997,114.3625,502.4,215.1925,3666.0
2022-05-18,60.51,3478.0,422.35,207.94,3761.0,203.57,495.5,3626.0,122.43,148.6125,2356.57,106.95,495.5,204.6625,3626.0
2022-05-19,62.05,3432.5,412.7,206.76,3570.0,199.05,485.9,3451.5,119.07,146.73250000000002,2270.5199999999995,104.815,485.9,200.97750000000002,3451.5
2022-05-20,60.57,3430.5,417.2,197.82,3598.0,200.9,490.75,3516.5,119.2,144.6225,2290.59,104.5425,490.75,198.59,3516.5
2022-05-21,61.42666666666667,3452.0,421.06666666666666,199.93,3616.1666666666665,202.16333333333333,494.1666666666667,3524.0,120.33333333333333,145.96333333333334,2301.4800000000005,105.60666666666667,494.1666666666667,200.48833333333334,3524.0
2022-05-22,62.28333333333333,3473.5,424.93333333333334,202.04,3634.3333333333335,203.42666666666668,497.5833333333333,3531.5,121.46666666666667,147.30416666666667,2312.37,106.67083333333333,497.5833333333333,202.38666666666666,3531.5
2022-05-23,63.14,3495.0,428.8,204.15,3652.5,204.69,501.0,3539.0,122.6,148.645,2323.2599999999998,107.735,501.0,204.285,3539.0
