symbol,date,Unnamed: 0,open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,exchange
WMT,2022-12-30 00:00:00+00:00,0,141.56,141.9925,140.81,141.79,3835316.0,141.9925,140.81,141.79,141.56,3835316.0,1.0,0.0,XNYS
WMT,2022-12-29 00:00:00+00:00,1,142.14,143.02,141.75,142.15,2956381.0,143.02,141.75,142.15,142.14,3057412.0,1.0,0.0,XNYS
WMT,2022-12-28 00:00:00+00:00,2,143.47,143.67,140.91,141.29,4985921.0,143.67,140.91,141.29,143.47,5082062.0,1.0,0.0,XNYS
WMT,2022-12-27 00:00:00+00:00,3,144.04,144.45,143.19,143.81,3342377.0,144.45,143.19,143.81,144.04,3348406.0,1.0,0.0,XNYS
WMT,2022-12-23 00:00:00+00:00,4,143.05,143.8,142.28,143.77,3182568.0,143.8,142.28,143.77,143.05,3182568.0,1.0,0.0,XNYS
WMT,2022-12-22 00:00:00+00:00,5,144.77,144.98,141.93,143.48,4194685.0,144.98,141.93,143.48,144.77,4362066.0,1.0,0.0,XNYS
WMT,2022-12-21 00:00:00+00:00,6,144.32,145.94,144.26,145.18,4203050.0,145.94,144.26,145.18,144.32,4575507.0,1.0,0.0,XNYS
WMT,2022-12-20 00:00:00+00:00,7,142.92,144.64,142.25,144.05,5392083.0,144.64,142.25,144.05,142.92,5669767.0,1.0,0.0,XNYS
WMT,2022-12-19 00:00:00+00:00,8,143.01,143.56,141.73,142.8,5017800.0,143.56,141.7273,142.8,143.01,5022485.0,1.0,0.0,XNYS
WMT,2022-12-16 00:00:00+00:00,9,144.48,144.72,142.57,142.75,13447300.0,144.72,142.57,142.75,144.48,13447742.0,1.0,0.0,XNYS
WMT,2022-12-15 00:00:00+00:00,10,145.58,146.42,143.63,145.36,5837534.0,146.42,143.63,145.36,145.58,5839323.0,1.0,0.0,XNYS
WMT,2022-12-14 00:00:00+00:00,11,147.09,148.53,145.96,146.67,6162969.0,148.53,145.96,146.67,147.09,6778208.0,1.0,0.0,XNYS
WMT,2022-12-13 00:00:00+00:00,12,150.0,150.2,146.74,147.49,7802360.0,150.2,146.74,147.49,150.0,7802889.0,1.0,0.0,XNYS
WMT,2022-12-12 00:00:00+00:00,13,145.9,148.1,145.56,148.02,5958150.0,148.1,145.56,148.02,145.9,6477443.0,1.0,0.0,XNYS
WMT,2022-12-09 00:00:00+00:00,14,147.47,147.72,145.22,145.31,9308700.0,147.715,145.22,145.31,147.47,9309818.0,1.0,0.0,XNYS
WMT,2022-12-08 00:00:00+00:00,15,149.16,149.28,148.14,148.78,4503800.0,149.275,148.14,148.78,149.16,4504214.0,1.0,0.56,XNYS
WMT,2022-12-07 00:00:00+00:00,16,150.5,151.21,148.82,149.11,5657733.0,151.21,148.82,149.11,150.5,5850070.0,1.0,0.0,XNYS
WMT,2022-12-06 00:00:00+00:00,17,151.2,151.905,149.21,149.89,6873569.0,151.905,149.21,149.89,151.2,6875202.0,1.0,0.0,XNYS
