,open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
0,46.01,46.48,44.69,45.47,3614386.0,46.48,44.69,45.47,46.01,3614386.0,1.0,0.0,AA,XNYS,2022-12-30T00:00:00+0000
1,44.03,46.7,43.73,46.56,4740000.0,46.7,43.73,46.56,44.03,4744674.0,1.0,0.0,AA,XNYS,2022-12-29T00:00:00+0000
2,44.86,44.86,43.43,43.8,3115900.0,44.86,43.43,43.8,44.86,3116338.0,1.0,0.0,AA,XNYS,2022-12-28T00:00:00+0000
3,44.9,45.5715,44.6,44.86,1991712.0,45.5799,44.59,44.86,44.9,2031480.0,1.0,0.0,AA,XNYS,2022-12-27T00:00:00+0000
4,44.17,44.57,43.5,44.2,2061757.0,44.57,43.5,44.2,44.17,2061757.0,1.0,0.0,AA,XNYS,2022-12-23T00:00:00+0000
5,44.58,44.63,41.82,43.85,3730300.0,44.63,41.82,43.85,44.58,3731046.0,1.0,0.0,AA,XNYS,2022-12-22T00:00:00+0000
6,44.68,45.74,43.9499,44.87,3980191.0,45.745,43.9499,44.87,44.68,3986216.0,1.0,0.0,AA,XNYS,2022-12-21T00:00:00+0000
7,42.62,44.33,42.58,44.09,4941800.0,44.33,42.5801,44.09,42.62,4948055.0,1.0,0.0,AA,XNYS,2022-12-20T00:00:00+0000
8,43.0,43.2,41.91,42.32,3189400.0,43.2,41.91,42.32,43.0,3189591.0,1.0,0.0,AA,XNYS,2022-12-19T00:00:00+0000
9,42.57,43.57,42.221,42.72,7332500.0,43.57,42.221,42.72,42.57,7334754.0,1.0,0.0,AA,XNYS,2022-12-16T00:00:00+0000
10,44.4,44.63,43.02,43.27,4299885.0,44.66,43.01,43.27,44.4,4300872.0,1.0,0.0,AA,XNYS,2022-12-15T00:00:00+0000
11,45.35,45.95,44.78,45.5,3752567.0,45.95,44.77,45.5,45.35,3755322.0,1.0,0.0,AA,XNYS,2022-12-14T00:00:00+0000
12,48.55,48.88,45.45,46.17,4443100.0,48.88,45.45,46.17,48.55,4444303.0,1.0,0.0,AA,XNYS,2022-12-13T00:00:00+0000
13,44.38,45.88,43.79,45.81,4501400.0,45.88,43.79,45.81,44.38,4502758.0,1.0,0.0,AA,XNYS,2022-12-12T00:00:00+0000
14,45.81,46.15,44.78,45.08,4583700.0,46.15,44.78,45.08,45.81,4587155.0,1.0,0.0,AA,XNYS,2022-12-09T00:00:00+0000
15,48.39,48.46,47.05,47.28,2567600.0,48.46,47.05,47.28,48.39,2601892.0,1.0,0.0,AA,XNYS,2022-12-08T00:00:00+0000
16,47.58,48.64,46.57,46.6,3150200.0,48.64,46.57,46.6,47.58,3152394.0,1.0,0.0,AA,XNYS,2022-12-07T00:00:00+0000
17,47.3,48.8,47.05,48.31,4102400.0,48.8,47.05,48.31,47.3,4103105.0,1.0,0.0,AA,XNYS,2022-12-06T00:00:00+0000
18,50.5,51.25,46.52,46.52,6389100.0,51.25,46.52,46.52,50.5,6391821.0,1.0,0.0,AA,XNYS,2022-12-05T00:00:00+0000
19,48.06,50.58,47.65,50.39,4830600.0,50.58,47.65,50.39,48.06,4833508.0,1.0,0.0,AA,XNYS,2022-12-02T00:00:00+0000
20,50.04,50.77,48.85,49.1,3786148.0,50.77,48.85,49.1,50.04,3848362.0,1.0,0.0,AA,XNYS,2022-12-01T00:00:00+0000
21,48.88,50.49,47.63,50.13,6773278.0,50.49,47.63,50.13,48.88,6778409.0,1.0,0.0,AA,XNYS,2022-11-30T00:00:00+0000
22,47.78,48.313,47.451,47.7,3631000.0,48.3125,47.451,47.7,47.78,3632245.0,1.0,0.0,AA,XNYS,2022-11-29T00:00:00+0000
23,46.92,47.34,45.57,46.43,4742401.0,47.34,45.57,46.43,46.92,4805316.0,1.0,0.0,AA,XNYS,2022-11-28T00:00:00+0000
24,48.55,48.943,47.61,47.89,1687400.0,48.9425,47.6101,47.89,48.55,1687359.0,1.0,0.0,AA,XNYS,2022-11-25T00:00:00+0000
25,48.51,48.97,47.88,48.51,3213600.0,48.97,47.88,48.51,48.51,3214022.0,1.0,0.0,AA,XNYS,2022-11-23T00:00:00+0000
26,47.72,49.42,46.94,49.36,5592200.0,49.42,46.94,49.36,47.72,5593316.0,1.0,0.0,AA,XNYS,2022-11-22T00:00:00+0000
27,46.13,46.89,44.51,46.63,5060926.0,46.89,44.51,46.63,46.13,5378136.0,1.0,0.0,AA,XNYS,2022-11-21T00:00:00+0000
28,48.18,48.57,46.72,47.31,3966100.0,48.57,46.72,47.31,48.18,3967438.0,1.0,0.0,AA,XNYS,2022-11-18T00:00:00+0000
29,46.93,47.46,45.55,47.37,5684800.0,47.46,45.55,47.37,46.93,5688237.0,1.0,0.0,AA,XNYS,2022-11-17T00:00:00+0000
30,47.65,48.83,46.25,48.67,7750314.0,48.83,46.24,48.67,47.65,7751298.0,1.0,0.0,AA,XNYS,2022-11-16T00:00:00+0000
31,49.6,49.99,48.46,49.21,5390488.0,49.99,48.44,49.21,49.6,5395269.0,1.0,0.0,AA,XNYS,2022-11-15T00:00:00+0000
32,46.55,49.05,46.4,48.22,6575000.0,49.05,46.4,48.22,46.55,6572530.0,1.0,0.0,AA,XNYS,2022-11-14T00:00:00+0000
33,45.26,50.76,45.04,47.66,18064800.0,50.7599,45.04,47.66,45.26,18068228.0,1.0,0.0,AA,XNYS,2022-11-11T00:00:00+0000
34,42.81,45.49,42.81,43.83,8197445.0,45.49,42.81,43.83,42.81,8201898.0,1.0,0.0,AA,XNYS,2022-11-10T00:00:00+0000
35,42.53,42.745,40.34,40.68,4180200.0,42.7454,40.34,40.68,42.53,4181219.0,1.0,0.0,AA,XNYS,2022-11-09T00:00:00+0000
36,42.18,43.385,41.46,43.23,4738300.0,43.385,41.46,43.23,42.18,4740199.0,1.0,0.0,AA,XNYS,2022-11-08T00:00:00+0000
37,42.47,42.79,41.0,41.51,4790200.0,42.79,41.0,41.51,42.47,4790732.0,1.0,0.0,AA,XNYS,2022-11-07T00:00:00+0000
38,41.54,43.52,40.8,42.4,11097600.0,43.52,40.8,42.4,41.54,11099443.0,1.0,0.0,AA,XNYS,2022-11-04T00:00:00+0000
39,37.14,38.18,36.5119,37.7,4406977.0,38.19,36.5119,37.7,37.14,4407655.0,1.0,0.0,AA,XNYS,2022-11-03T00:00:00+0000
40,40.71,41.14,37.77,37.77,5221800.0,41.14,37.77,37.77,40.71,5227760.0,1.0,0.0,AA,XNYS,2022-11-02T00:00:00+0000
41,40.77,42.13,40.26,40.88,6355800.0,42.13,40.26,40.88,40.77,6356120.0,1.0,0.0,AA,XNYS,2022-11-01T00:00:00+0000
42,38.86,40.03,38.82,39.03,5386000.0,40.03,38.82,39.03,38.86,5388653.0,1.0,0.1,AA,XNYS,2022-10-31T00:00:00+0000
43,40.78,40.785,38.46,39.49,6564800.0,40.785,38.46,39.49,40.78,6566408.0,1.0,0.0,AA,XNYS,2022-10-28T00:00:00+0000
44,42.58,42.81,41.19,41.41,5167900.0,42.81,41.19,41.41,42.58,5169067.0,1.0,0.0,AA,XNYS,2022-10-27T00:00:00+0000
45,42.09,43.08,41.28,42.65,5993598.0,43.08,41.28,42.65,42.09,6084100.0,1.0,0.0,AA,XNYS,2022-10-26T00:00:00+0000
46,38.765,42.39,38.44,41.49,8334292.0,42.39,38.44,41.49,38.765,8522212.0,1.0,0.0,AA,XNYS,2022-10-25T00:00:00+0000
47,40.05,40.15,38.6,39.17,7786774.0,40.15,38.6,39.17,40.05,7822356.0,1.0,0.0,AA,XNYS,2022-10-24T00:00:00+0000
48,38.85,41.92,38.56,41.06,13757400.0,41.92,38.56,41.06,38.85,13762581.0,1.0,0.0,AA,XNYS,2022-10-21T00:00:00+0000
49,35.82,41.67,35.4,38.91,36208371.0,41.67,35.4,38.91,35.82,36329460.0,1.0,0.0,AA,XNYS,2022-10-20T00:00:00+0000
