,open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
0,239.39,240.16,237.7,239.56,1521214.0,240.16,237.7,239.56,239.39,1521214.0,1.0,0.0,CAT,XNYS,2022-12-30T00:00:00+0000
1,241.21,241.61,238.27,240.2,1652200.0,241.61,238.27,240.2,241.21,1652542.0,1.0,0.0,CAT,XNYS,2022-12-29T00:00:00+0000
2,243.14,243.82,238.28,239.38,2270000.0,243.82,238.275,239.38,243.14,2269966.0,1.0,0.0,CAT,XNYS,2022-12-28T00:00:00+0000
3,240.69,245.05,239.72,243.14,3380500.0,245.05,239.7223,243.14,240.69,3381464.0,1.0,0.0,CAT,XNYS,2022-12-27T00:00:00+0000
4,236.95,240.54,236.5,239.87,1960066.0,240.54,236.5,239.87,236.95,1960066.0,1.0,0.0,CAT,XNYS,2022-12-23T00:00:00+0000
5,240.15,240.8,233.04,237.54,3129900.0,240.8,233.04,237.54,240.15,3129995.0,1.0,0.0,CAT,XNYS,2022-12-22T00:00:00+0000
6,237.66,241.91,237.66,241.73,4143600.0,241.9101,237.66,241.73,237.66,4143626.0,1.0,0.0,CAT,XNYS,2022-12-21T00:00:00+0000
7,232.44,235.72,231.86,235.14,2649500.0,235.72,231.86,235.14,232.44,2649895.0,1.0,0.0,CAT,XNYS,2022-12-20T00:00:00+0000
8,233.9,236.93,230.93,232.29,2621800.0,236.93,230.93,232.29,233.9,2622367.0,1.0,0.0,CAT,XNYS,2022-12-19T00:00:00+0000
9,228.63,233.22,228.05,232.72,7610100.0,233.215,228.05,232.72,228.63,7610743.0,1.0,0.0,CAT,XNYS,2022-12-16T00:00:00+0000
10,232.16,232.93,227.72,230.66,2953200.0,232.93,227.72,230.66,232.16,2953761.0,1.0,0.0,CAT,XNYS,2022-12-15T00:00:00+0000
11,236.06,238.22,233.12,234.48,3513100.0,238.22,233.12,234.48,236.06,3513780.0,1.0,0.0,CAT,XNYS,2022-12-14T00:00:00+0000
12,237.82,237.92,232.13,235.49,2944200.0,237.92,232.13,235.49,237.82,2945191.0,1.0,0.0,CAT,XNYS,2022-12-13T00:00:00+0000
13,227.55,233.4,227.02,233.06,2709200.0,233.4,227.02,233.06,227.55,2709227.0,1.0,0.0,CAT,XNYS,2022-12-12T00:00:00+0000
14,232.0,232.81,227.19,227.29,2255100.0,232.81,227.19,227.29,232.0,2256976.0,1.0,0.0,CAT,XNYS,2022-12-09T00:00:00+0000
15,230.91,232.5,229.54,230.92,2189400.0,232.5,229.54,230.92,230.91,2189369.0,1.0,0.0,CAT,XNYS,2022-12-08T00:00:00+0000
16,227.0,229.84,225.78,228.98,3044000.0,229.84,225.78,228.98,227.0,3044194.0,1.0,0.0,CAT,XNYS,2022-12-07T00:00:00+0000
17,232.59,233.05,225.56,228.29,3633800.0,233.05,225.56,228.29,232.59,3633800.0,1.0,0.0,CAT,XNYS,2022-12-06T00:00:00+0000
18,234.8,235.91,232.26,232.57,2064500.0,235.91,232.26,232.57,234.8,2064513.0,1.0,0.0,CAT,XNYS,2022-12-05T00:00:00+0000
19,233.89,238.47,233.59,236.13,2217500.0,238.47,233.59,236.13,233.89,2218271.0,1.0,0.0,CAT,XNYS,2022-12-02T00:00:00+0000
20,236.9,237.0,231.94,235.69,2416723.0,237.0,231.94,235.69,236.9,2504686.0,1.0,0.0,CAT,XNYS,2022-12-01T00:00:00+0000
21,235.9,236.76,230.79,236.41,3849500.0,236.76,230.79,236.41,235.9,3849956.0,1.0,0.0,CAT,XNYS,2022-11-30T00:00:00+0000
22,233.3,235.73,231.55,235.12,2276600.0,235.73,231.55,235.12,233.3,2277925.0,1.0,0.0,CAT,XNYS,2022-11-29T00:00:00+0000
23,233.94,234.96,231.57,232.3,2862100.0,234.955,231.57,232.3,233.94,2862337.0,1.0,0.0,CAT,XNYS,2022-11-28T00:00:00+0000
24,237.0,237.49,235.19,235.7,1034800.0,237.49,235.19,235.7,237.0,1034795.0,1.0,0.0,CAT,XNYS,2022-11-25T00:00:00+0000
25,237.63,239.63,235.61,236.92,2310100.0,239.63,235.61,236.92,237.63,2311283.0,1.0,0.0,CAT,XNYS,2022-11-23T00:00:00+0000
26,234.0,237.48,233.36,237.26,2523300.0,237.48,233.36,237.26,234.0,2523669.0,1.0,0.0,CAT,XNYS,2022-11-22T00:00:00+0000
27,231.55,233.67,228.27,232.17,2521800.0,233.67,228.27,232.17,231.55,2522619.0,1.0,0.0,CAT,XNYS,2022-11-21T00:00:00+0000
28,230.85,231.84,227.63,231.43,2867400.0,231.84,227.63,231.43,230.85,2868714.0,1.0,0.0,CAT,XNYS,2022-11-18T00:00:00+0000
29,227.75,230.53,225.51,230.44,3256900.0,230.53,225.51,230.44,227.75,3257638.0,1.0,0.0,CAT,XNYS,2022-11-17T00:00:00+0000
30,234.0,234.66,230.84,232.42,3061700.0,234.66,230.8375,232.42,234.0,3061954.0,1.0,0.0,CAT,XNYS,2022-11-16T00:00:00+0000
31,237.1,239.4,232.75,234.59,3371000.0,239.4,232.745,234.59,237.1,3371100.0,1.0,0.0,CAT,XNYS,2022-11-15T00:00:00+0000
32,236.0,239.85,234.5,236.5,3217100.0,239.85,234.5,236.5,236.0,3217733.0,1.0,0.0,CAT,XNYS,2022-11-14T00:00:00+0000
33,233.0,238.4,232.0,236.49,3584400.0,238.4,231.9983,236.49,233.0,3585442.0,1.0,0.0,CAT,XNYS,2022-11-11T00:00:00+0000
