,open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
0,4183.0,4201.2,4174.5,4182.0,806116.0,,,4182.0,,,1.0,0.0,ULVR.XLON,XLON,2022-12-30T00:00:00+0000
1,4199.0,4212.3144,4160.0,4202.0,1060387.0,,,4202.0,,,1.0,0.0,ULVR.XLON,XLON,2022-12-29T00:00:00+0000
2,4236.5,4248.0,4197.0,4205.5,1445088.0,,,4205.5,,,1.0,0.0,ULVR.XLON,XLON,2022-12-28T00:00:00+0000
3,4223.5,4229.0,4200.5,4214.0,416606.0,,,4214.0,,,1.0,0.0,ULVR.XLON,XLON,2022-12-23T00:00:00+0000
4,4223.0,4249.5,4209.0,4213.0,2013063.0,,,4213.0,,,1.0,0.0,ULVR.XLON,XLON,2022-12-22T00:00:00+0000
5,4166.0,4225.0,4153.5,4225.0,2106148.0,,,4225.0,,,1.0,0.0,ULVR.XLON,XLON,2022-12-21T00:00:00+0000
6,4165.0,4180.5,4147.5,4156.5,2250147.0,,,4156.5,,,1.0,0.0,ULVR.XLON,XLON,2022-12-20T00:00:00+0000
7,4146.0,4173.5,4136.0,4173.5,2633046.0,,,4173.5,,,1.0,0.0,ULVR.XLON,XLON,2022-12-19T00:00:00+0000
8,4137.5,4173.0,4073.0,4141.0,6703962.0,,,4141.0,,,1.0,0.0,ULVR.XLON,XLON,2022-12-16T00:00:00+0000
9,4141.0,4155.5,4114.0,4137.0,3078870.0,,,4137.0,,,1.0,0.0,ULVR.XLON,XLON,2022-12-15T00:00:00+0000
10,4100.0,4159.88,4085.5,4150.5,3894289.0,,,4150.5,,,1.0,0.0,ULVR.XLON,XLON,2022-12-14T00:00:00+0000
11,4135.5,4136.0,4087.5,4105.5,2831510.0,,,4105.5,,,1.0,0.0,ULVR.XLON,XLON,2022-12-13T00:00:00+0000
12,4121.0,4150.5,4114.0,4122.0,3301279.0,,,4122.0,,,1.0,0.0,ULVR.XLON,XLON,2022-12-12T00:00:00+0000
13,4134.0,4167.0,4118.5,4125.5,5599095.0,,,4125.5,,,1.0,0.0,ULVR.XLON,XLON,2022-12-09T00:00:00+0000
14,4170.5,4226.0,4130.5,4161.0,2675335.0,,,4161.0,,,1.0,0.0,ULVR.XLON,XLON,2022-12-08T00:00:00+0000
15,4204.0,4229.5,4159.0,4161.0,2823779.0,,,4161.0,,,1.0,0.0,ULVR.XLON,XLON,2022-12-07T00:00:00+0000
16,4194.5,4216.0,4176.0,4186.0,4146624.0,,,4186.0,,,1.0,0.0,ULVR.XLON,XLON,2022-12-06T00:00:00+0000
17,4175.0,4182.599,4123.08,4179.0,1860191.0,,,4179.0,,,1.0,0.0,ULVR.XLON,XLON,2022-12-05T00:00:00+0000
18,4173.5,4179.0,4139.0,4178.0,2139720.0,,,4178.0,,,1.0,0.0,ULVR.XLON,XLON,2022-12-02T00:00:00+0000
19,4147.0,4180.935,4134.0,4179.5,2786982.0,,,4179.5,,,1.0,0.0,ULVR.XLON,XLON,2022-12-01T00:00:00+0000
20,4131.0,4175.2005,4127.5,4144.0,10919948.0,,,4144.0,,,1.0,0.0,ULVR.XLON,XLON,2022-11-30T00:00:00+0000
