,name,symbol,has_intraday,has_eod,country,acronym,country_code,city
0,Microsoft Corporation,MSFT,False,True,USA,NASDAQ,US,New York
1,Apple Inc,AAPL,False,True,USA,NASDAQ,US,New York
2,Amazon.com Inc,AMZN,False,True,USA,NASDAQ,US,New York
3,Alphabet Inc - Class C,GOOG,False,True,USA,NASDAQ,US,New York
4,Alphabet Inc - Class A,GOOGL,False,True,USA,NASDAQ,US,New York
5,Alibaba Group Holding Ltd,BABA,False,True,USA,NYSE,US,New York
6,Meta Platforms Inc - Class A,FB,False,True,USA,NASDAQ,US,New York
9,Vodafone Group plc,VOD,False,True,USA,NASDAQ,US,New York
10,Visa Inc - Class A,V,False,True,USA,NYSE,US,New York
11,JPMorgan Chase & Company,JPM,False,True,USA,NYSE,US,New York
12,Johnson & Johnson,JNJ,False,True,USA,NYSE,US,New York
13,Walmart Inc,WMT,False,True,USA,NYSE,US,New York
14,Mastercard Incorporated - Class A,MA,False,True,USA,NYSE,US,New York
15,Procter & Gamble Company,PG,False,True,USA,NYSE,US,New York
16,Taiwan Semiconductor Manufacturing,TSM,False,True,USA,NYSE,US,New York
17,Chunghwa Telecom,CHT,False,True,USA,NYSE,US,New York
18,Roche Holding AG,RHHBF,False,True,USA,OTC,US,New York
19,Roche Holding AG,RHHVF,False,True,USA,OTC,US,New York
20,AT&T Inc,T,False,True,USA,NYSE,US,New York
21,Unitedhealth Group Inc,UNH,False,True,USA,NYSE,US,New York
22,Bank Of America Corp,BAC,False,True,USA,NYSE,US,New York
23,Home Depot Inc,HD,False,True,USA,NYSE,US,New York
24,Intel Corp,INTC,False,True,USA,NASDAQ,US,New York
25,Coca-Cola Company,KO,False,True,USA,NYSE,US,New York
26,Verizon Communications Inc,VZ,False,True,USA,NYSE,US,New York
27,Roche Holding AG,RHHBY,False,True,USA,OTC,US,New York
28,Exxon Mobil Corp,XOM,False,True,USA,NYSE,US,New York
29,Walt Disney Co (The),DIS,False,True,USA,NYSE,US,New York
30,Merck & Co Inc,MRK,False,True,USA,NYSE,US,New York
31,Novartis AG,NVS,False,True,USA,NYSE,US,New York
32,Comcast Corp - Class A,CMCSA,False,True,USA,NASDAQ,US,New York
33,Pfizer Inc,PFE,False,True,USA,NYSE,US,New York
34,PepsiCo Inc,PEP,False,True,USA,NASDAQ,US,New York
35,Toyota Motor Corporation,TM,False,True,USA,NYSE,US,New York
36,Chevron Corp,CVX,False,True,USA,NYSE,US,New York
37,Adobe Inc,ADBE,False,True,USA,NASDAQ,US,New York
38,Cisco Systems Inc,CSCO,False,True,USA,NASDAQ,US,New York
39,Wells Fargo & Company,WFC,False,True,USA,NYSE,US,New York
40,NVIDIA Corp,NVDA,False,True,USA,NASDAQ,US,New York
41,Netflix Inc,NFLX,False,True,USA,NASDAQ,US,New York
42,Oracle Corp,ORCL,False,True,USA,NYSE,US,New York
43,Boeing Company,BA,False,True,USA,NYSE,US,New York
44,China Mobile Ltd ADR,CHL,False,True,USA,NYSE,US,New York
45,Salesforce Inc,CRM,False,True,USA,NYSE,US,New York
46,Sap SE,SAP,False,True,USA,NYSE,US,New York
47,McDonald`s Corp,MCD,False,True,USA,NYSE,US,New York
48,Nike Inc - Class B,NKE,False,True,USA,NYSE,US,New York
49,Abbott Laboratories,ABT,False,True,USA,NYSE,US,New York
50,Citigroup Inc,C,False,True,USA,NYSE,US,New York
51,Medtronic Plc,MDT,False,True,USA,NYSE,US,New York
52,HSBC Holdings plc,HSBC,False,True,USA,NYSE,US,New York
53,Tesla Inc,TSLA,False,True,USA,NASDAQ,US,New York
54,Costco Wholesale Corp,COST,False,True,USA,NASDAQ,US,New York
55,Bristol-Myers Squibb Company,BMY,False,True,USA,NYSE,US,New York
56,HSBC HOLDINGS PLC ADR EACH REPR 1/40 PREF SERIES ',HSBC/PA,False,True,USA,NYSE,US,New York
57,PayPal Holdings Inc,PYPL,False,True,USA,NASDAQ,US,New York
58,Philip Morris International Inc,PM,False,True,USA,NYSE,US,New York
59,NextEra Energy Inc,NEE,False,True,USA,NYSE,US,New York
60,Abbvie Inc,ABBV,False,True,USA,NYSE,US,New York
61,Lilly(Eli) & Company,LLY,False,True,USA,NYSE,US,New York
62,AMGEN Inc,AMGN,False,True,USA,NASDAQ,US,New York
63,Sanofi,SNY,False,True,USA,NASDAQ,US,New York
64,Thermo Fisher Scientific Inc,TMO,False,True,USA,NYSE,US,New York
65,ASML Holding NV,ASML,False,True,USA,NASDAQ,US,New York
66,Astrazeneca plc,AZN,False,True,USA,NYSE,US,New York
67,Accenture plc - Class A,ACN,False,True,USA,NYSE,US,New York
68,International Business Machines Corp,IBM,False,True,USA,NYSE,US,New York
69,Honeywell International Inc,HON,False,True,USA,NYSE,US,New York
70,UNITED TECHNOLOGIES CORP,UTX,False,True,USA,NYSE,US,New York
71,TotalEnergies SE,TOT,False,True,USA,NYSE,US,New York
72,Broadcom Inc,AVGO,False,True,USA,NASDAQ,US,New York
73,Texas Instruments Inc,TXN,False,True,USA,NASDAQ,US,New York
74,Novo Nordisk,NVO,False,True,USA,NYSE,US,New York
75,Union Pacific Corp,UNP,False,True,USA,NYSE,US,New York
76,Royal Bank Of Canada,RY,False,True,USA,NYSE,US,New York
77,BP plc,BP,False,True,USA,NYSE,US,New York
78,Lockheed Martin Corp,LMT,False,True,USA,NYSE,US,New York
79,American Tower Corp,AMT,False,True,USA,NYSE,US,New York
80,Linde Plc.,LIN,False,True,USA,NYSE,US,New York
81,GSK Plc,GSK,False,True,USA,NYSE,US,New York
82,Danaher Corp,DHR,False,True,USA,NYSE,US,New York
83,Charter Communications Inc - Class A,CHTR,False,True,USA,NASDAQ,US,New York
84,HDFC Bank Ltd,HDB,False,True,USA,NYSE,US,New York
85,General Electric Company,GE,False,True,USA,NYSE,US,New York
86,Starbucks Corp,SBUX,False,True,USA,NASDAQ,US,New York
87,Anheuser-Busch In Bev SA/NV,BUD,False,True,USA,NYSE,US,New York
88,Gilead Sciences Inc,GILD,False,True,USA,NASDAQ,US,New York
89,Toronto Dominion Bank,TD,False,True,USA,NYSE,US,New York
90,Sinopec Shanghai Petrochemical Co. Ltd,SHI,False,True,USA,NYSE,US,New York
91,Qualcomm Inc,QCOM,False,True,USA,NASDAQ,US,New York
92,American Express Company,AXP,False,True,USA,NYSE,US,New York
94,Fidelity National Information Services Inc,FIS,False,True,USA,NYSE,US,New York
95,British American Tobacco Plc,BTI,False,True,USA,NYSE,US,New York
96,3M Company,MMM,False,True,USA,NYSE,US,New York
97,Lowe`s Cos. Inc,LOW,False,True,USA,NYSE,US,New York
98,Diageo plc,DEO,False,True,USA,NYSE,US,New York
100,CVS Health Corp,CVS,False,True,USA,NYSE,US,New York
101,T-Mobile US Inc,TMUS,False,True,USA,NASDAQ,US,New York
102,Mondelez International Inc - Class A,MDLZ,False,True,USA,NASDAQ,US,New York
103,United Parcel Service Inc - Class B,UPS,False,True,USA,NYSE,US,New York
104,Deutsche Telekom AG,DTEGY,False,True,USA,OTC,US,New York
105,Sony Corporation.,SNE,False,True,USA,NYSE,US,New York
106,Altria Group Inc,MO,False,True,USA,NYSE,US,New York
107,Fiserv Inc,FISV,False,True,USA,NASDAQ,US,New York
108,Enbridge Inc,ENB,False,True,USA,NYSE,US,New York
109,Blackrock Inc,BLK,False,True,USA,NYSE,US,New York
110,Deutsche Telekom AG,DTEGF,False,True,USA,OTC,US,New York
111,TJX Companies Inc,TJX,False,True,USA,NYSE,US,New York
112,CME Group Inc - Class A,CME,False,True,USA,NASDAQ,US,New York
113,Unilever NV,UN,False,True,USA,NYSE,US,New York
114,Stryker Corp,SYK,False,True,USA,NYSE,US,New York
115,U.S. Bancorp.,USB,False,True,USA,NYSE,US,New York
116,Intuit Inc,INTU,False,True,USA,NASDAQ,US,New York
117,Goldman Sachs Group Inc,GS,False,True,USA,NYSE,US,New York
